endpoint_id,score_full_hla__pr__regime_1225,score_full_hla__pr__regime_1400,score_full_hla__pr__regime_1451,score_full_hla__pr__regime_1775,score_full_hla__pr__regime_1926,score_full_hla__pr__regime_1950,score_full_hla__pr__regime_2100,score_full_hla__pr__regime_2126,score_full_hla__pr__regime_2153,score_full_hla__pr__regime_2154,score_full_hla__pr__regime_2275,score_full_hla__pr__regime_2450,score_full_hla__pr__regime_2451,score_full_hla__pr__regime_2505,score_full_hla__pr__regime_2625,score_full_hla__pr__regime_2676,score_full_hla__pr__regime_2677,score_full_hla__pr__regime_2680,score_full_hla__pr__regime_2681,score_full_hla__pr__regime_725
nci_obs_000010,-5.89560604095459,-5.50270414352417,-5.47005558013916,-5.470005512237549,-5.470005512237549,-5.470005512237549,-5.447564601898193,-5.295310974121094,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.503315448760986,-5.276453971862793,-5.276443958282471,-5.276443958282471,-5.503315448760986,-5.503315448760986,-5.895795822143555
nci_obs_000011,-0.4139242172241211,-2.509300470352173,-2.5068273544311523,-0.3765040934085846,-0.384908527135849,-0.4159848392009735,-2.1975646018981934,-2.1936264038085938,-0.39107760787010193,-0.37180304527282715,-0.37378501892089844,-0.3851112425327301,-0.3723432123661041,-0.37693604826927185,-0.6062098145484924,-0.3942531645298004,-0.37425604462623596,-0.5144801139831543,-0.39428314566612244,-2.814593553543091
nci_obs_000012,-0.6905949115753174,-1.1283265352249146,-0.7789976596832275,-0.5924243330955505,-0.6011651158332825,-0.6955416798591614,-1.0108789205551147,-0.7396327257156372,-0.5905725955963135,-0.5905725955963135,-0.5920631885528564,-0.6180915236473083,-0.5910026431083679,-0.5918133854866028,-0.7443230152130127,-0.6145073771476746,-0.5906425714492798,-0.8963667750358582,-0.6323813199996948,-1.2370585203170776
nci_obs_000013,-2.720945358276367,-2.150425910949707,-2.1379072666168213,-2.13785719871521,-2.13785719871521,-2.1380672454833984,-1.8211334943771362,-1.7706547975540161,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036,-1.7691336870193481,-1.7691136598587036,-2.1956372261047363,-1.7693936824798584,-1.7691136598587036,-1.7691136598587036,-2.196077346801758,-2.195627212524414,-2.7220559120178223
nci_obs_000014,-0.43601319193840027,-1.9296454191207886,-1.9253052473068237,-0.3962930738925934,-0.4012525975704193,-0.44351863861083984,-1.5268765687942505,-1.5157880783081055,-1.0399221181869507,-0.39658352732658386,-0.3957023620605469,-0.4096716642379761,-0.39504197239875793,-0.39691412448883057,-0.5560358762741089,-0.40146395564079285,-0.3950119912624359,-0.4902321696281433,-0.40146395564079285,-2.0893044471740723
nci_obs_000015,-0.5449386239051819,-1.408616542816162,-0.7521432638168335,-0.5221202969551086,-0.523100733757019,-0.5308830142021179,-2.165508270263672,-1.6878911256790161,-0.5230709910392761,-0.5219203233718872,-0.522010326385498,-0.5241127014160156,-0.5219303369522095,-0.521980345249176,-0.5487880706787109,-0.5225304961204529,-0.5219203233718872,-0.5479244589805603,-0.5225704908370972,-0.7386931777000427
nci_obs_000016,-3.7806241512298584,-3.1511216163635254,-3.1481072902679443,-3.1481072902679443,-3.1481072902679443,-3.1481072902679443,-2.5492453575134277,-2.5404765605926514,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-4.091433525085449,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-4.091433525085449,-4.091433525085449,-3.7810142040252686
nci_obs_000017,-0.7010132074356079,-1.500807285308838,-0.9136667847633362,-0.6907862424850464,-0.6903856992721558,-0.6963080167770386,-2.4776525497436523,-1.7373257875442505,-0.6926808953285217,-0.6892449855804443,-0.6892650127410889,-0.6901553869247437,-0.6892349720001221,-0.6908957958221436,-0.704521119594574,-0.6896050572395325,-0.6892549991607666,-0.7004721760749817,-0.6901352405548096,-0.934563398361206
nci_obs_000018,-0.8860313296318054,-1.185133695602417,-0.9834669828414917,-0.8680009841918945,-0.8679509162902832,-0.8795320391654968,-1.5138087272644043,-1.0575541257858276,-0.8671103715896606,-0.8668103218078613,-0.8669103384017944,-0.8684215545654297,-0.8668303489685059,-0.8678809404373169,-0.8795213103294373,-0.8670603632926941,-0.8668103218078613,-0.8798570036888123,-0.8672704696655273,-1.1945356130599976
nci_obs_000019,2.3723673820495605,0.4817570447921753,1.0251843929290771,2.3750696182250977,2.374809503555298,2.374199390411377,0.888630211353302,0.8941866159439087,2.3426291942596436,2.3750696182250977,2.3750696182250977,2.374859571456909,2.3750696182250977,2.3750696182250977,2.3422675132751465,2.3750295639038086,2.3750696182250977,2.3707001209259033,2.3750295639038086,1.3051905632019043
