ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
200,,after_candidate_limit,,1801,72,1,72,13.89,6.25,0.5,2,1,2,0.9584076555023924,0.5133708528919864
201,,after_candidate_limit,,750,30,0,30,12.78,11.5,0.5,2,1,1,0.9559454545454545,0.5132376504118653
202,,after_candidate_limit,,2628,105,3,105,15,9,0.5,0.75,1,8,0.9604239234449761,0.5132352521639358
203,,after_candidate_limit,,2756,110,6,110,15,9,2.17,3.25,2,2,0.9446856459330144,0.5132167915434565
204,,after_candidate_limit,,2653,106,3,106,15,9,0.5,1.38,1,8,0.9604325358851674,0.5128095567700179
205,,after_candidate_limit,,2678,107,3,107,15,9,0.5,2,1,8,0.9604191387559808,0.5125340802984358
206,,after_candidate_limit,,2632,105,7,105,15,9,0.5,0.75,2,3,0.9530344497607656,0.5118979435994312
207,,after_candidate_limit,,550,22,0,22,11.67,7,0.5,1.38,1,1,0.9519052631578947,0.5117280343345794
208,,after_candidate_limit,,1780,71,5,71,13.89,6.25,0.5,1.38,2,1,0.946844976076555,0.5112937825252458
209,,after_candidate_limit,,2106,84,6,84,15,13.5,0.5,0.75,2,2,0.9472899521531101,0.5112365531780569
